mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
216,86326.32825,86195.86303,86326.32825,23,0.017838,0.150756,0,0,0,14.336125,0.003407
217,86326.32843,86195.86303,86326.32843,21,0.016252,0.086719,0,0,0,14.439096,0.003407
218,86326.3285,86195.86303,86326.3285,21,0.016365,0.083814,0,0,0,14.539275,0.003407
219,86326.32864,86195.86303,86326.32864,22,0.017035,0.089818,0,0,0,14.646128,0.003407
220,86326.32916,86195.86303,86326.32916,24,0.018593,0.085295,0,0,0,14.750016,0.003407
221,86326.32928,86195.86303,86326.32928,23,0.01776,0.13112,0,0,0,14.898896,0.003407
222,86326.32939,86195.86303,86326.32939,24,0.018598,0.072188,0,0,0,14.989682,0.003407
223,86326.32954,86195.86303,86326.32954,22,0.017395,0.091436,0,0,0,15.098513,0.003407
224,86326.32972,86195.86303,86326.32972,22,0.017687,0.114667,0,0,0,15.230867,0.003407
225,86326.32974,86195.86303,86326.32974,22,0.017641,0.088165,0,0,0,15.336673,0.003407
226,86326.32976,86195.86303,86326.32976,24,0.018886,0.151969,0,0,0,15.507528,0.003407
227,86326.32984,86195.86303,86326.32984,23,0.018698,0.123289,0,0,0,15.649515,0.003407
228,86326.32993,86195.86303,86326.32993,22,0.017852,0.113363,0,0,0,15.78073,0.003407
229,86326.33001,86195.86303,86326.33001,24,0.019218,0.085659,0,0,0,15.885607,0.003407
230,86326.33044,86195.86303,86326.33044,20,0.017107,0.096698,0,0,0,15.999412,0.003407
231,86326.33054,86195.86303,86326.33054,23,0.019463,0.108512,0,0,0,16.127387,0.003407
232,86326.33065,86195.86303,86326.33065,22,0.018296,0.111802,0,0,0,16.257485,0.003407
233,86326.33116,86195.86303,86326.33116,23,0.020289,0.096691,0,0,0,16.374465,0.003407
234,86326.33114,86195.86303,86326.33114,22,0.018622,0.104503,0,0,0,16.49759,0.003407
235,86326.33149,86195.86303,86326.33149,23,0.019331,0.112413,0,0,0,16.629334,0.003407
236,86326.33168,86195.86303,86326.33168,22,0.018672,0.110907,0,0,0,16.758913,0.003407
237,86326.33186,86195.86303,86326.33186,21,0.017648,0.086393,0,0,0,16.862954,0.003407
238,86326.33202,86195.86303,86326.33202,22,0.018692,0.151933,0,0,0,17.033579,0.003407
239,86326.33213,86195.86303,86326.33213,23,0.019435,0.125841,0,0,0,17.178855,0.003407
240,86326.33222,86195.86303,86326.33222,22,0.01879,0.11002,0,0,0,17.307665,0.003407
241,86326.33238,86195.86303,86326.33238,21,0.018166,0.11224,0,0,0,17.438071,0.003407
242,86326.33267,86195.86303,86326.33267,22,0.019452,0.098654,0,0,0,17.556177,0.003407
243,86326.33299,86195.86303,86326.33299,21,0.018516,0.109943,0,0,0,17.684636,0.003407
244,86326.33314,86195.86303,86326.33314,24,0.020575,0.101613,0,0,0,17.806824,0.003407
245,86326.33361,86195.86303,86326.33361,21,0.018563,0.091444,0,0,0,17.916831,0.003407
246,86326.33383,86195.86303,86326.33383,23,0.019914,0.111334,0,0,0,18.048079,0.003407
247,86326.33398,86195.86303,86326.33398,23,0.020224,0.085551,0,0,0,18.153854,0.003407
248,86326.33404,86195.86303,86326.33404,23,0.020281,0.117613,0,0,0,18.291748,0.003407
249,86326.33406,86195.86303,86326.33406,22,0.019484,0.091172,0,0,0,18.402404,0.003407
250,86326.33417,86195.86303,86326.33417,23,0.020276,0.119901,0,0,0,18.542581,0.003407
251,86326.33437,86195.86303,86326.33437,21,0.01881,0.132454,0,0,0,18.693845,0.003407
252,86326.33462,86195.86303,86326.33462,24,0.021218,0.113461,0,0,0,18.828524,0.003407
253,86326.33571,86195.86303,86326.33571,23,0.020359,0.17195,0,0,0,19.020833,0.003407
254,86326.33492,86195.86303,86326.33492,20,0.019014,0.144339,0,0,0,19.184186,0.003407
255,86326.33498,86195.86303,86326.33498,23,0.020633,0.106112,0,0,0,19.310931,0.003407
256,86326.33528,86195.86303,86326.33528,22,0.019904,0.159428,0,0,0,19.490263,0.003407
257,86326.33509,86195.86303,86326.33509,22,0.020151,0.148389,0,0,0,19.658803,0.003407
258,86326.33553,86195.86303,86326.33553,22,0.020052,0.108665,0,0,0,19.78752,0.003407
259,86326.33583,86195.86303,86326.33583,22,0.020278,0.132584,0,0,0,19.940382,0.003407
260,86326.33602,86195.86303,86326.33602,24,0.021986,0.123055,0,0,0,20.085423,0.003407
261,86326.3361,86195.86303,86326.3361,23,0.021154,0.181672,0,0,0,20.288249,0.003407
262,86326.3361,86195.86303,86326.3361,23,0.021301,0.231508,0,0,0,20.541058,0.003407
263,86326.33613,86195.86303,86326.33613,23,0.021204,0.147129,0,0,0,20.709391,0.003407
264,86326.33623,86195.86303,86326.33623,22,0.021367,0.104063,0,0,0,20.834821,0.003407
265,86326.33639,86195.86303,86326.33639,22,0.020549,0.110525,0,0,0,20.965895,0.003407
266,86326.33661,86195.86303,86326.33661,22,0.020717,0.123549,0,0,0,21.110161,0.003407
267,86326.33766,86195.86303,86326.33766,21,0.021966,0.114024,0,0,0,21.246151,0.003407
268,86326.33843,86195.86303,86326.33843,23,0.022222,0.111003,0,0,0,21.379376,0.003407
269,86326.33905,86195.86303,86326.33905,23,0.022284,0.123897,0,0,0,21.525557,0.003407
270,86326.33957,86195.86303,86326.33957,22,0.021516,0.120632,0,0,0,21.667705,0.003407
271,86326.34004,86195.86303,86326.34004,21,0.02109,0.12241,0,0,0,21.811205,0.003407
272,86326.3405,86195.86303,86326.3405,23,0.021976,0.116585,0,0,0,21.949766,0.003407
273,86326.34124,86195.86303,86326.34124,22,0.022049,0.084356,0,0,0,22.056171,0.003407
274,86326.34154,86195.86303,86326.34154,20,0.019646,0.094272,0,0,0,22.170089,0.003407
275,86326.34162,86195.86303,86326.34162,21,0.021565,0.153785,0,0,0,22.345439,0.003407
276,86326.34181,86195.86303,86326.34181,23,0.02254,0.141077,0,0,0,22.509056,0.003407
277,86326.34201,86195.86303,86326.34201,23,0.022878,0.119172,0,0,0,22.651106,0.003407
278,86326.34226,86195.86303,86326.34226,22,0.022077,0.140496,0,0,0,22.813679,0.003407
279,86326.34242,86195.86303,86326.34242,24,0.023884,0.133109,0,0,0,22.970672,0.003407
